,giga_id_school,latitude,longitude,bin_internet_availability,norm_student_count,norm_Schools_within_3km,norm_pop_within_3km
3,185bafe0-8d87-3a75-b70e-ae9bb5935d15,-24.622995,25.8626712,0,0.24060751398880895,0.48,0.48834935636304383
4,0202c1c2-9a57-3360-b30e-352d9ba76fa3,-25.7576782,25.2168433,0,0.17426059152677859,0.08,0.012104564817616797
5,0c3ac86e-2dbb-33d6-b0db-3e1600e8fd91,-20.1328199,27.2186993,0,0.3117505995203837,0.08,0.05153751251192998
7,76098c42-2150-3461-a915-78365ecdc298,-20.2066273,25.2350806,0,0.2829736211031175,0.16,0.023208175236853746
10,4996e57e-73ad-3293-89bd-71e154c6cff7,-24.6538453,25.9136956,0,0.7146282973621103,0.92,0.523359482297074
11,e40d4fde-c8b9-3127-baca-7183487adb74,-20.2066273,25.2350806,0,0.4580335731414868,0.16,0.023208175236853746
12,ae8cfb5e-5843-38d2-a4f4-f907b341dec4,-25.7576782,25.2168433,0,0.06634692246203037,0.08,0.012104564817616797
13,04be441d-bafc-3772-b525-0491e88cb0db,-24.9859972,25.6978741,0,0.1774580335731415,0.08,0.14066900998626597
14,7c888d2e-4bbe-3c36-a241-903b983151f3,-20.1328199,27.2186993,0,0.6474820143884892,0.08,0.05153751251192998
15,1e53827b-e461-3aa3-9c7f-d317577c8b12,-24.6447436,25.847013,0,0.10471622701838529,0.44,0.3986591866663563
16,a749b574-f849-3b95-8ebb-9cefe5be0fbb,-24.6543768,25.560257,0,0.3212156389538051,0.16,0.035708466211969554
17,deb33736-7170-336a-9e60-54a6a7849fc7,-24.6748963,25.4556447,0,0.3212156389538051,0.04,0.0025605810191112457
18,7dd4b992-cc24-371b-811e-54a2607d8761,-24.6447436,25.847013,0,0.3212156389538051,0.44,0.3986591866663563
19,1856e0cb-66c9-3af9-a74e-9a53a5e64213,-24.622995,25.8626712,0,0.3212156389538051,0.48,0.48834935636304383
20,aa5c2c26-383c-3f25-b027-65e12aeff067,-24.5547355,25.373073,0,0.416466826538769,0.0,0.0018855187504364626
21,f16fe10e-3831-3e7f-848a-6e34bd7d8c3e,-24.4147381,25.364799,0,0.4940047961630695,0.04,0.0015130706022020996
22,61d13d89-3483-3257-b367-64bc4f710900,-24.6770331,25.9544492,0,0.5787370103916867,0.36,0.4344142088968551
27,1491a262-5c03-3dc7-b06a-c68404c4bf31,-24.3882364,25.5075556,0,0.6059152677857714,0.32,0.16930096138178263
28,5fa573ac-c71a-3b7e-828b-92ece1c9e19b,-25.6198242,25.4923482,0,0.04396482813749001,0.0,0.034102283572708864
29,bb19deb6-5acc-3ec2-badb-359ea858958e,-20.5486285,22.7488737,0,0.19584332533972823,0.0,0.00402709560278405
30,2778b4a9-a346-3cba-af24-d8c911d6c997,-20.6835432,27.6909756,0,0.09592326139088729,0.0,0.008077469214832747
31,b3ecb7f9-ae7c-34b0-97da-3945a921b666,-24.6669355,25.9388931,0,0.5947242206235012,0.4,0.4891408086780418
34,187dea42-e853-3fdc-aad7-3430345ec620,-18.7096469,21.4382753,0,0.1366906474820144,0.0,0.002164854861612235
35,7a03e9bf-7f77-3594-9541-6ebe3e213d69,-20.221422,27.2593993,0,0.17985611510791366,0.0,0.011732116669382434
37,8f41a764-fb0a-3b98-bd6a-f4d572574d55,-25.369884,25.6309867,0,0.26059152677857716,0.0,0.03249610093344817
38,932e8782-99bc-3e5c-9dcf-77adb4bee87d,-23.9776625,23.8871255,0,0.2573940847322142,0.0,0.0010242324076444982
40,3492da51-e5ef-3d01-a183-e94e0e786042,-20.5610513,27.3925746,0,0.08792965627498002,0.0,0.0060755604180730465
42,d3c68f70-8ad0-3d14-85cb-bcfe3d1283f7,-25.3874522,25.4991433,0,0.13269384492406075,0.0,0.016853278707604925
43,8541a306-b0ec-3c5c-a4f1-0282e252d179,-21.8166259,28.7658234,0,0.29096722621902477,0.0,0.0023278009264647687
46,862263d5-9a8b-3586-8c4c-6bcd4345b6ad,-22.7277115,27.4239327,0,0.21262989608313348,0.04,0.012802905095556228
48,d1ec8070-9235-3b59-904f-b907342c0a83,-20.863318,27.2267603,0,0.13509192645883294,0.08,0.06229195279219721
49,e74637ca-99a7-3ecb-81b4-edf60c6d1ec2,-19.3876839,22.1608243,0,0.7370103916866507,0.12,0.016573942596429154
51,436860a4-1760-3d69-afa9-3f566dc45e0b,-24.4181616,26.1391837,0,0.5083932853717026,0.28,0.16599548406620265
52,f486434a-2913-3cf7-ace1-93430ad434c8,-20.5710053,27.7073987,0,0.2158273381294964,0.04,0.019390581717451522
53,bf5f6c9c-0de0-3330-b22a-ab6f49b7b2a6,-20.9540029,27.6802344,0,0.24700239808153476,0.0,0.007914523149980214
54,43f0c60a-2b99-33e5-a141-97ab65cd1166,-18.1512069,24.5012343,0,0.19024780175859313,0.04,0.013501245373495658
55,67485d34-01eb-3d4c-a04d-8eba18ecd5be,-20.6333525,27.29161,0,0.11590727418065548,0.0,0.015037593984962405
56,9f41bd2c-edb1-3b8f-9c43-62465972914d,-22.8666261,26.4824904,0,0.354916067146283,0.0,0.001932074768965758
62,f8965ccf-6d8d-3ce1-9e5b-90383c6370d4,-18.0751924,24.5852467,0,0.08713029576338929,0.0,0.01035871412276822
64,40c9aae4-032f-3389-accb-f07903681faa,-24.400511,25.5211707,0,0.4644284572342126,0.32,0.17165204031751205
65,f7a1dd72-0f91-3a5c-8f20-f59f78d0d6da,-24.418565,26.1382433,0,0.5475619504396483,0.28,0.1628529528154752
66,3635f6f9-7bd5-3b58-b49c-7b893dde793f,-22.384409,27.5622963,0,0.18625099920063948,0.04,0.030633860192276357
67,0a11a8b8-0a4e-32d2-a576-cba7d3d4902c,-23.0396266,26.4695155,0,0.4284572342126299,0.08,0.05204962871575223
70,60742348-bc92-35d0-80bb-94d80196edfc,-23.884328,24.7481761,0,0.5003996802557954,0.0,0.0003957261574990107
72,5fda22ed-df7e-3c14-b766-fdf3b0c25355,-20.473418,24.5118263,0,0.21342925659472423,0.0,0.010544938196885402
76,6ad199b0-7dce-3177-aff8-ca3a8bf02a50,-24.4007786,26.1565014,0,0.5443645083932853,0.44,0.22679764426546242
77,a684c702-f434-3ea5-b4cc-f4bd27b0da94,-22.6646603,27.2231608,0,0.548361310951239,0.04,0.04015456598151726
79,d6256f86-6e62-3f9c-8f18-425152e4d8bf,-22.2067755,29.0366107,0,0.03836930455635491,0.0,0.0
81,85ddc940-9d85-3c19-b133-f93b70dab59d,-23.3599082,25.8355104,0,0.11430855315747403,0.0,0.06210572871808003
82,a83e6b83-00af-33ff-9ef3-f4f0b91f532a,-25.75732,25.2028639,0,0.08473221422861711,0.08,0.011801950697176378
84,52ad21b7-a047-3f71-977a-628ba9f5a81f,-24.6641556,25.9183712,0,0.8609112709832134,0.72,0.5197513908610536
85,a7593a10-df4a-3154-9f2e-fe64fdc88bc2,-22.5195308,27.5368708,0,0.37569944044764186,0.0,0.008938755557624712
86,0e5eae3a-584a-3764-923c-94fedc308510,-23.8404895,26.4510287,0,0.08713029576338929,0.0,0.00775157708512768
87,6d891f9d-c1fd-3171-9c95-4220c763f300,-24.1022323,25.0299278,0,0.7050359712230215,0.08,0.014246141669964385
89,507a3877-17df-3fa5-b02b-8f998f0a66f5,-20.6680668,27.4123647,0,0.07913669064748201,0.0,0.006797178705277125
90,90d37b40-15fc-31db-94b6-816d2a14e6e8,-19.982701,23.4276448,0,0.6770583533173461,0.52,0.154542703507996
94,69004a0e-247c-34a6-b019-2c6d2fe860b0,-22.856463,27.2959413,0,0.11270983213429256,0.0,0.0051444400474871385
96,3d14e12f-ef9f-3404-85ab-331db2937835,-17.9865549,24.6460543,0,0.11750599520383694,0.0,0.009939709956004562
97,018daf63-fd5e-373f-881c-a9c3f2d83d82,-25.7679479,24.5620606,0,0.28936850519584334,0.04,0.016061826392606903
99,07971d11-b5f2-3c95-8d80-04e91f2c2f6c,-20.299987,27.1336393,0,0.34852118305355717,0.12,0.05898647547661724
100,9a37c3dd-1273-38d1-8d08-96b3ef282cc2,-21.4495258,27.4724405,0,0.5611510791366906,0.28,0.09390348937358876
101,170ba0f1-a283-3435-aff5-ee4e9a538e67,-21.971823,28.4139273,0,0.2821742605915268,0.36,0.0624316208477851
102,f3995fb9-8220-38bd-be32-e5d3863720ca,-24.6651011,25.5436823,0,0.17665867306155075,0.2,0.06527153797807211
104,0c9f778f-f34c-3ced-8467-08ba6f8dbff9,-25.4431466,25.291599,0,0.1718625099920064,0.0,0.039200167601666704
106,957d81cb-88f2-365a-8763-2bb2abdb5871,-24.9761326,25.3341227,0,0.4244604316546763,0.6,0.3013803859493936
108,757d1fdc-fdcb-35f6-bbc9-824be254a14b,-20.3265983,23.8788747,0,0.11430855315747403,0.08,0.02495402593170232
109,c4c1ce40-913b-3498-9a4a-0ecd4ac7f192,-20.8999794,27.2745782,0,0.19744204636290968,0.04,0.014781535883051282
112,b8a62d7b-fc13-3ea5-888f-e9699f48f5e6,-20.676647,27.1230473,0,0.45083932853717024,0.0,0.012151120836146093
113,a84b2924-a332-30c8-aa99-40f28bee271e,-20.79722,27.3272513,0,0.07993605115907274,0.0,0.015875602318489723
114,2e6ee71f-cbd5-3d27-be82-237e3f4c11f4,-22.718381,27.4775123,0,0.05275779376498801,0.0,0.006867012733071068
116,3c830c62-048a-322b-af65-cbd1aba89680,-20.514598,27.0551423,0,0.4788169464428457,0.12,0.1147605856747131
117,2efd1e49-74bd-3447-8286-e63b93869902,-20.5365266,27.5887404,0,0.2446043165467626,0.04,0.013920249540259317
120,cfe25b93-d518-310d-8540-ade869eed198,-20.7984745,27.2655287,0,0.14228617106314947,0.04,0.010800996298796528
121,2e860531-53cd-35c9-9c11-cba8496be703,-20.62082,27.4441145,0,0.5723421262989609,0.08,0.0599408738564678
122,bd0a1473-22b1-3010-87de-373eb9060e43,-22.5843706,27.6445488,0,0.24700239808153476,0.08,0.06454991969086804
125,d89fad37-2504-391c-82fe-1471b6888eaf,-23.1122761,27.5659823,0,0.16626698641087131,0.0,0.015852324309225074
126,00cd30e4-e2bd-32da-a7f1-a43238131a5a,-22.718298,27.3113233,0,0.19904076738609114,0.04,0.01238390092879257
127,c56a69b2-5d23-3d8f-af8e-2fac8c72249a,-21.297264,27.8830673,0,0.33093525179856115,0.04,0.020461370143625316
128,1018c4aa-c81e-3563-b600-75ec3a73eb35,-20.835264,26.6769063,0,0.30135891286970423,0.0,0.011801950697176378
129,ed532440-9ae9-3c50-ac3e-8f69ef924313,-22.5987112,27.6250751,0,0.3101518784972022,0.08,0.051653902558253216
131,7243c1e3-4071-3feb-9763-79535cf24d80,-25.3129467,25.2705668,0,0.5227817745803357,0.08,0.037268092832700946
132,bd38458f-8b44-3f1e-8b43-d109283f035b,-21.149615,25.6582973,0,0.3101518784972022,0.0,0.004539211806606299
134,fba367f5-f794-3b9e-8358-0b0a466d45e7,-23.2973941,27.2767933,0,0.3333333333333333,0.0,0.014339253707022975
135,29b6a295-6a64-3b03-88af-da3d2bf8e9a2,-23.0444023,26.5760132,0,0.1111111111111111,0.0,0.01890174352289392
138,37198387-824f-3699-bc19-0449d1225983,-22.681061,27.6123163,0,0.07194244604316546,0.04,0.01347796736423101
139,a261e277-c958-3f61-8ffa-3bd24c3eef44,-22.323602,27.8247963,0,0.407673860911271,0.04,0.010521660187620754
140,69a0d95a-e42c-3a07-bbac-150ae072a8a4,-22.375597,27.5912113,0,0.31974420463629094,0.04,0.022905561116413325
142,9c1dc7a5-2da5-3048-8f85-80bc262036d1,-23.139833,26.9629627,0,0.12629896083133493,0.0,0.009986265974533858
144,8c8a53bf-7c5a-3891-971a-54b2d414830c,-24.9830774,25.352363,0,0.34612310151878495,0.4,0.2511464419562839
146,988b9c2e-aa62-3978-876c-c7f4844192ca,-21.262027,24.9481573,0,0.9232613908872902,0.0,0.003957261574990107
147,7b2a9b91-dba3-34d8-9333-24038c945c3b,-22.063689,28.5958113,0,0.48201438848920863,0.04,0.029912241905072277
149,59e74e36-a949-3402-93f9-6d050f262700,-22.7523567,27.631166,0,0.33093525179856115,0.0,0.012965851160408761
152,6641d0c7-ba45-30aa-907c-cd6f53da1340,-20.5332737,27.6500964,0,0.3005595523581135,0.0,0.014921203938639167
153,6a19b472-38ae-3e00-bbf1-f06d7582b677,-24.7781213,25.4071981,0,0.4244604316546763,0.24,0.1724667706417747
155,b1501483-ca4c-37a9-ae57-edb9366b06cb,-20.622181,27.5162533,0,0.13908872901678657,0.0,0.008636141437184292
157,52674d7b-8f33-3fab-8ca3-100d8f9592b6,-21.210857,26.0199903,0,0.38689048760991207,0.04,0.018738797458041388
159,af1afcd4-97d8-31d9-813e-e5fb0d230a8c,-24.990015,25.3457387,0,0.39408473221422863,0.44,0.28869387090016063
160,2a53820c-e561-3585-8c8c-c0595143f39e,-20.559697,27.1163663,0,0.19424460431654678,0.0,0.019204357643334342
166,7306bab1-784a-3888-aff4-feed3783f8eb,-20.3005557,27.1331519,0,0.35411670663469225,0.12,0.05917269955073442
167,a2de9b55-a5ff-3e4a-ba2d-801d3c7e9721,-20.515492,27.5171233,0,0.2709832134292566,0.0,0.009683651854093438
168,594d49e1-a49c-3692-a25e-c8217539ac6b,-19.6618909,22.1914703,0,0.3301358912869704,0.0,0.002257966898670826
170,2fdba3d5-a026-3d27-9027-c8f30daa0ff7,-24.9603373,25.5875989,0,0.39408473221422863,0.04,0.053795479410600804
172,9276a8ef-4c40-3208-b25f-67743dbe18a1,-24.1879321,26.8619413,0,0.16706634692246203,0.0,0.009916431946739915
176,08ee50f6-3f23-3e37-82dc-6b6886991ffa,-24.438344,26.0755873,0,0.15347721822541965,0.04,0.11943946553690728
178,26a02e53-2dd5-3726-8f0a-9a5d4b8c9ee6,-22.2731276,26.7888145,0,0.3701039168665068,0.0,0.04115552037989711
179,0548d271-42e9-3fcd-8f82-c46831b59d9b,-23.4037058,26.6933067,0,0.26458832933653076,0.0,0.025233362042878092
181,0c4d222c-0984-31c5-8d62-fc15c642605f,-18.5346059,25.6590823,0,0.3437250199840128,0.0,0.005190996066016434
182,910eb553-c683-3f7a-8eeb-700419b2537f,-18.0393722,24.3126354,0,0.1806554756195044,0.0,0.003445145371167858
184,d286c0bd-1c2c-30d9-b738-484b8701ab34,-25.7388494,25.0944526,0,0.21103117505995203,0.04,0.01399008356805326
186,00029c04-894d-36cf-ba50-39b1ae4f80b9,-24.4283271,26.0099963,0,0.5571542765787371,0.04,0.10316813706091855
187,0c72e19b-7cea-327c-9f70-c689235e5c3f,-25.6344778,25.5409035,0,0.2222222222222222,0.0,0.06929863358085617
188,24b0177b-354c-36f0-bc3f-c59beb29328b,-24.4366526,26.0608487,0,0.30935251798561153,0.08,0.12504946576968737
190,d95d1976-8b26-3c66-9841-54df5a13c72a,-24.914794,25.4629826,0,0.40207833733013587,0.04,0.03775693102725855
191,b3490a77-0150-3360-b51b-992dbfb38590,-24.5459106,26.4730997,0,0.35891286970423664,0.0,0.037314648851230245
193,e8c66366-be2a-3d9e-b487-6a681cebc190,-24.3738499,26.080615,0,0.47961630695443647,0.04,0.1475127447100724
194,cf88ee1d-a9fc-3c4d-b3c6-92ddab9f945a,-22.722667,27.573336,0,0.31974420463629094,0.04,0.03019157801624805
195,65b7e724-4455-388e-9e89-a788c5b0312e,-21.4287119,27.453745,0,0.5467625899280576,0.36,0.14192602248655695
197,8c967543-7a2a-3ca6-8337-709f89995470,-18.0133549,24.4045543,0,0.11430855315747403,0.0,0.0037012034730789824
200,ea8a8524-1c7f-370e-b594-9426efe49183,-22.5373979,27.1397274,0,0.7170263788968825,0.2,0.1248166856770409
201,e5001d8c-e513-339c-82fd-66b377c7e001,-20.8215665,27.2146327,0,0.6219024780175859,0.04,0.06585348820968831
202,dba21803-4bec-38ff-9df8-b7a3d5f7db79,-20.7537325,27.3568257,0,0.08393285371702638,0.0,0.006867012733071068
207,bdf1f4ed-4af3-356f-9c24-39b2fb42af02,-20.480582,22.6993573,0,0.4244604316546763,0.04,0.021881328708768827
208,9c9f6975-e65b-3d88-b314-0c9112dd1c60,-20.5385444,27.3207755,0,0.12470023980815348,0.04,0.006983402779394307
209,59cc4deb-8f1b-314c-8318-ee76bf356d53,-22.887802,27.5096453,0,0.38369304556354916,0.08,0.030959752321981424
211,2e69ea33-5748-3496-99d6-0bc0a8d2f86a,-21.8784025,28.8283267,0,0.2302158273381295,0.0,0.014409087734816918
212,cd71a71f-b989-33b8-a7dc-d3cf4fc40408,-20.3228409,27.1287,0,0.518784972022382,0.08,0.042459088898717384
213,522ae2e1-fc0c-3e92-897a-2c062f87d244,-20.7663196,27.6874718,0,0.24060751398880895,0.0,0.008915477548360064
214,0ee165ba-47b1-3e1d-b934-ce622cc94155,-22.655632,27.6890443,0,0.2685851318944844,0.0,0.014478921762610862
215,1a448eab-e13d-3abf-afe0-f768c3a91860,-18.7342309,22.1771853,0,0.33573141486810554,0.04,0.016248050466724086
216,ec517b3e-95a5-3db8-9da4-2d9d14ed5e8b,-18.8159839,22.4136883,0,0.6235011990407674,0.04,0.004841825927046719
218,e402574c-bb23-306f-a7f3-fbbf0e7551b5,-21.919123,27.2983143,0,0.5235811350919265,0.04,0.06927535557159152
219,8ca2ce6c-13ea-3fc4-8e6c-d7a105ecf744,-18.3896039,21.8428403,0,0.7274180655475619,0.08,0.026839544682138783
220,110be636-54be-3c9c-86fd-a94d0c98cfa4,-19.7654865,23.6686257,0,0.2733812949640288,0.0,0.006285062501454876
222,979c2daf-dae8-3ebc-9f1c-a099a599cd1b,-24.6299501,26.4035223,0,0.10231814548361311,0.04,0.05035033403943295
223,30e79005-4983-3ec5-9b3f-f4f9a3461755,-22.407336,26.7030903,0,0.4492406075139888,0.56,0.15770851276798808
224,018ad9ef-0f73-35f4-8698-a3e61d954fe1,-20.8587562,27.6733385,0,0.2302158273381295,0.0,0.014572033799669452
225,70a3cbb4-f166-32dc-9625-df0209823f9c,-24.8483496,25.8274547,0,0.3980815347721823,0.12,0.20836146092786145
226,8320d8be-504c-3128-8015-cedb2c54bf5f,-24.8679091,25.8698094,0,0.43005595523581136,0.48,0.33913731697665217
227,c698337a-f281-38d5-8c90-1d26cf980fb8,-24.7144836,25.8696591,0,0.2733812949640288,0.04,0.14900253730300986
228,7a83a2fa-3aa1-30ad-b39e-db1f45ff3568,-25.6540956,25.4964797,0,0.04876099120703437,0.0,0.0241625736167043
229,aaa53dd1-dd54-3046-97cc-eb005ec925c5,-23.091447,26.8284685,0,0.4828137490007994,0.32,0.14027328382876697
230,77c62f2b-c2ac-3e17-a36b-cae71dd7dde8,-21.865593,27.7529493,0,0.18864908073541167,0.24,0.0754207500174585
231,4430b8ab-b30a-3c9b-adc8-2d37192293bc,-25.228311,25.6794772,0,0.354916067146283,0.36,0.8054889545846039
232,02a89141-0fc1-3bbd-a790-dc1b0e2d34d5,-22.4104125,27.3992067,0,0.23421262989608313,0.0,0.005307386112339673
233,f2f06ad8-893a-3fd0-a364-2c681167a03b,-23.1102071,26.8216503,0,0.6394884092725819,0.36,0.16930096138178263
238,b7850919-4e86-36dc-928f-a1a2fb0abd32,-21.8807249,27.7434045,0,0.5099920063948841,0.32,0.08009962987965269
239,4c133307-3ae7-3000-a46f-e0648f5c14e3,-21.984008,27.8596063,0,0.5627498001598721,0.36,0.6551362927442446
240,41ae8315-8af6-3537-9d08-c9fd2e951e7a,-25.5086184,25.6311012,0,0.07993605115907274,0.0,0.03428850764682605
241,41af7d95-5586-32bf-8d8d-ecb9479fec24,-21.9030315,28.0444877,0,0.5467625899280576,0.04,0.00896203356688936
242,a02b9d33-1d30-3936-9f6f-fb0b9d780c14,-21.4413843,27.4615253,0,0.4412470023980815,0.36,0.12635303428850764
243,587c1a9d-7b6e-3427-b7a9-07f2413bea03,-21.070384,24.5665673,0,0.17985611510791366,0.0,0.003002863195139552
245,1b7b74f0-ca83-3af3-ba05-a1e787d539ed,-20.8362123,27.6248949,0,0.2853717026378897,0.04,0.04932610163178845
246,2c10242d-3e82-3902-9495-c20a3ae0a50b,-19.9916851,23.411423,0,0.3261390887290168,0.52,0.16208477850974184
247,5b44bb11-4a52-31b4-8ad4-4f85056c5c61,-22.412914,28.3985043,0,0.5491606714628298,0.08,0.01550315417025536
250,72cac920-e988-395c-b315-531c348a42d9,-20.720003,27.5859613,0,0.3181454836131095,0.08,0.04555506413091552
251,366a60c2-1df3-3447-90c2-2bbc817035d7,-25.8177775,24.6855648,0,0.11430855315747403,0.0,0.006215228473660932
252,caf20cca-448c-349e-bca8-89f81da1bd2e,-22.114924,26.9225803,0,0.4044764188649081,0.0,0.005237552084545729
256,72758641-0744-3514-ae1e-abb0e20f9d3a,-20.5041906,27.4376463,0,0.2653876898481215,0.04,0.010195768057915687
257,96b44191-91c6-3c29-a2ab-4ffc5a275df2,-24.0174721,26.3146353,0,0.37250199840127896,0.04,0.009916431946739915
259,ce0ad81b-c97a-3523-a845-4be7be0d697b,-20.3824985,22.32905,0,0.07913669064748201,0.0,0.0012104564817616798
260,f9dc2105-9f04-3b54-8a8e-8220fedc3a08,-23.6022742,25.8222055,0,0.2821742605915268,0.0,0.07430340557275542
262,20b33e66-8460-3d89-8362-3b502e2cfb3e,-20.3249086,27.2279879,0,0.16706634692246203,0.0,0.008636141437184292
264,d21bb17e-2b69-3cf2-843e-68c035549a18,-24.0932485,24.5298707,0,0.3517186250999201,0.0,0.0017691287041132243
265,29a5329e-47ae-3721-82e5-c805debec157,-24.2363018,25.675134,0,0.11510791366906475,0.0,0.04746386089061663
266,8acad8a9-a47e-3d95-aab7-cdba81fe0421,-24.522617,25.0482713,0,0.44844124700239807,0.0,0.002164854861612235
267,a5caa525-5c39-37c4-b3e2-2793c6900e07,-23.7350516,24.5886564,0,0.40687450039968026,0.0,0.0010242324076444982
272,f8d27097-ffcf-3dae-a7ed-f2c926c05d96,-24.2925751,26.1677813,0,0.14948041566746603,0.04,0.022323610884797132
273,87ddfdad-758d-3f3e-8739-60478d023f98,-24.5787346,25.9392087,0,0.37569944044764186,0.0,0.29681789613352266
274,28f5aae0-67b1-3f02-a7e1-0b396f708a62,-24.8727297,25.8596532,0,0.02478017585931255,0.52,0.3553155334155823
275,03389fad-057d-3d23-af01-777c5267857e,-25.5374027,25.3098077,0,0.03597122302158273,0.0,0.017644731022602948
276,fac63289-7692-392f-8c95-d4396864a8ce,-24.8730972,25.860722,0,0.3733013589128697,0.52,0.35613026373984497
279,3264e1ab-402b-3fdd-806e-57cd8746a7e7,-23.6469171,26.8243643,0,0.2182254196642686,0.0,0.006401452547778114
280,abd3e069-f66e-3fe2-9dc1-241b0faffad6,-21.8671072,26.4411069,0,0.6107114308553158,0.04,0.01780767708745548
281,c15045ea-f432-3b5c-a47f-396ab04a9554,-21.2021565,24.8576697,0,0.3293365307753797,0.04,0.00623850648292558
282,9a8c047c-cd78-3204-927a-5189cd979b5f,-20.240138,24.2509353,0,0.13189448441247004,0.0,0.004283153704695174
283,7f9bc78b-586d-3b78-9295-f634192a8de1,-22.947214,27.3755513,0,0.2454036770583533,0.0,0.010381992132032869
